Abert's Towhee,ABTO,Melozone aberti,MELABE
Wilson's Warbler,WIWA,Cardellina pusilla,CARPUS
Wine-throated Hummingbird,WTHH*,Atthis ellioti,ATTELL
Wing-banded Antbird,WBAA*,Myrmornis torquata,MYRTOR
Winter Wren,WIWR,Troglodytes hiemalis,TROHIE
Wood Duck,WODU,Aix sponsa,AIXSPO
Wood Sandpiper,WOSA,Tringa glareola,TRIGLA
Wood Stork,WOST,Mycteria americana,MYCAME
Wood Thrush,WOTH,Hylocichla mustelina,HYLMUS
Wood Warbler,WOWA,Phylloscopus sibilatrix,PHYSIB
Woodhouse's Scrub-Jay,WOSJ,Aphelocoma woodhouseii,APHWOO
Worm-eating Warbler,WEWA,Helmitheros vermivorum,HELVER
Worthen's Sparrow,WOSP,Spizella wortheni,SPIWOR
Wrenthrush,WRET*,Zeledonia coronata,ZELCOR
Wrentit,WREN,Chamaea fasciata,CHAFAS
Xantus's Hummingbird,XAHU,Hylocharis xantusii,HYLXAN
Yellow Bittern,YEBI,Ixobrychus sinensis,IXOSIN
Yellow Grosbeak,YEGR,Pheucticus chrysopeplus,PHECHR
Yellow Palm Warbler,YPWA,Setophaga palmarum hypochrysea,SETPHY
Yellow Rail,YERA,Coturnicops noveboracensis,COTNOV
Yellow Tyrannulet,YETY,Capsiempis flaveola,CAPFLA
Yellow Warbler,YEWA,Setophaga petechia,SETPET
Yellow-backed Oriole,YBOR,Icterus chrysater,ICTCHR
Yellow-backed Tanager,YBTA,Hemithraupis flavicollis,HEMFLA
Yellow-bellied Elaenia,YBEL,Elaenia flavogaster,ELAFLA
Yellow-bellied Flycatcher,YBFL,Empidonax flaviventris,EMPFLT*
Yellow-bellied Sapsucker,YBSA,Sphyrapicus varius,SPHVAR
Yellow-bellied Seedeater,YBSE,Sporophila nigricollis,SPONIG
Yellow-bellied Siskin,YBSI,Spinus xanthogastrus,SPIXAN
Yellow-bellied Tyrannulet,YBTY,Ornithion semiflavum,ORNSEM
Yellow-billed Cacique,YBIC*,Amblycercus holosericeus,AMBHOL
Yellow-billed Cardinal,YBCA,Paroaria capitata,PARCAP
Yellow-billed Cotinga,YBCO,Carpodectes antoniae,CARANT
Yellow-billed Cuckoo,YBCU,Coccyzus americanus,COCAME
Yellow-billed Loon,YBLO,Gavia adamsii,GAVADA
Yellow-billed Magpie,YBMA,Pica nuttalli,PIANUT*
Yellow-billed Parrot,YBPA,Amazona collaria,AMACOL
Yellow-billed Tern,YBTE,Sternula superciliaris,STESUP
Yellow-breasted Bunting,YBSB*,Emberiza aureola,EMBAUR
Yellow-breasted Chat,YBCH,Icteria virens,ICTVIR
Yellow-breasted Crake,YBCR,Hapalocrex flaviventer,HAPFLA
Yellow-breasted Flycatcher,YBRF*,Tolmomyias flaviventris,TOLFLA
Yellow-browed Bunting,YBWB*,Emberiza chrysophrys,EMBCHR
Yellow-browed Shrike-Vireo,YBSV,Vireolanius eximius,VIREXI
Yellow-browed Warbler,YBWA,Phylloscopus inornatus,PHYINO
Yellow-collared Chlorophonia,YCCH,Chlorophonia flavirostris,CHPFLA*
Yellow-crowned Bishop,YCBI,Euplectes afer,EUPAFE
Yellow-crowned Euphonia,YCEU,Euphonia luteicapilla,EUPLUT
Yellow-crowned Night-Heron,YCNH,Nyctanassa violacea,NYCVIO
Yellow-crowned Parrot,YCPA,Amazona ochrocephala,AMAOCH
Yellow-crowned Tyrannulet,YCTY,Tyrannulus elatus,TYRELA
Yellow-eared Toucanet,YETO,Selenidera spectabilis,SELSPT*
Yellow-eyed Junco,YEJU,Junco phaeonotus,JUNPHA
Yellow-faced Grassquit,YFGR,Tiaris olivaceus,TIAOLI
Yellow-footed Gull,YFGU,Larus livens,LARLIV
Yellow-fronted Canary,YFCA,Crithagra mozambica,CRIMOZ
Yellow-green Finch,YGFI,Pselliophorus luteoviridis,PSELUT
Yellow-green Grosbeak,YGGR,Caryothraustes canadensis,CATCAN
Yellow-green Tyrannulet,YGTY,Phylloscartes flavovirens,PHYFLA
Yellow-green Vireo,YGVI,Vireo flavoviridis,VIRFLD*
Yellow-headed Blackbird,YHBL,Xanthocephalus xanthocephalus,XANXAN
Yellow-headed Caracara,YHCA,Milvago chimachima,MILCHI
Yellow-headed Parrot,YHPA,Amazona oratrix,AMAORA
Yellow-headed Warbler,YHWA,Teretistris fernandinae,TERFER
Yellow-hooded Blackbird,YHOB*,Chrysomus icterocephalus,CHRICT
Yellowish Flycatcher,YEFL,Empidonax flavescens,EMPFLC*
Yellowish Pipit,YEPI,Anthus lutescens,ANTLUT
Yellow-legged Gull,YLGU,Larus michahellis,LARMIC
Yellow-lored Parrot,YLPA,Amazona xantholora,AMAXAN
Yellow-margined Flycatcher,YMFL,Tolmomyias assimilis,TOLASS
Yellow-naped Parrot,YNPA,Amazona auropalliata,AMAAUR
Yellow-nosed Albatross,YNAL,Thalassarche chlororhynchos,THACHL
Yellow-olive Flycatcher,YOFL,Tolmomyias sulphurescens,TOLSUL
Yellow-rumped Cacique,YRCA,Cacicus cela,CACCEL
Yellow-rumped Warbler,YRWA,Setophaga coronata,SETCOR
Yellow-shafted Flicker,YSFL,Colaptes a. auratus,COLAAU
Yellow-shouldered Blackbird,YSBL,Agelaius xanthomus,AGEXAN
Yellow-shouldered Grassquit,YSGR,Loxipasser anoxanthus,LOXANO
Yellow-tailed Oriole,YTOR,Icterus mesomelas,ICTMES
Yellow-thighed Finch,YTFI,Pselliophorus tibialis,PSETIB
Yellow-throated Bunting,YTBU,Emberiza elegans,EMBELE
Yellow-throated Chlorospingus,YTCH,Chlorospingus flavigularis,CHLFLG*
Yellow-throated Euphonia,YTEU,Euphonia hirundinacea,EUPHIR
Yellow-throated Toucan,YTTO,Ramphastos ambiguus,RAMAMB
Yellow-throated Vireo,YTVI,Vireo flavifrons,VIRFLF*
Yellow-throated Warbler,YTWA,Setophaga dominica,SETDOM
Yellow-winged Cacique,YWCA,Cassiculus melanicterus,CASMEL
Yellow-winged Tanager,YWTA,Thraupis abbas,THRABB
Yellow-winged Vireo,YWVI,Vireo carmioli,VIRCAM*
Yucatan Flycatcher,YUFL,Myiarchus yucatanensis,MYIYUC
Yucatan Jay,YUJA,Cyanocorax yucatanicus,CYAYUC
Yucatan Nightjar,YUNI,Antrostomus badius,ANTBAD
Yucatan Poorwill,YUPO,Nyctiphrynus yucatanicus,NYCYUC
Yucatan Vireo,YUVI,Vireo magister,VIRMAG
Yucatan Woodpecker,YUWO,Melanerpes pygmaeus,MELPYG
Yucatan Wren,YUWR,Campylorhynchus yucatanicus,CAMYUC
Zapata Rail,ZARA,Cyanolimnas cerverai,CYACER
Zapata Sparrow,ZASP,Torreornis inexpectata,TORINE
Zapata Wren,ZAWR,Ferminia cerverai,FERCER
Zebra Dove,ZEBD*,Geopelia striata,GEOSTR
Zeledon's Antbird,ZEAN,Myrmeciza zeledoni,MYRZEL
Zenaida Dove,ZEND*,Zenaida aurita,ZENAUT*
Zino's Petrel,ZIPE,Pterodroma madeira,PTEMAD
Zone-tailed Hawk,ZTHA,Buteo albonotatus,BUTALB
